Species	Symbol	Ensembl	Family	Entrez ID
Mus_musculus	Brd8	ENSMUSG00000003778	Bromodomain	78656
Mus_musculus	Calr	ENSMUSG00000003814	Others	12317
Mus_musculus	Ruvbl2	ENSMUSG00000003868	Other_CRF	20174
Mus_musculus	Ssbp2	ENSMUSG00000003992	Others	66970
Mus_musculus	Cavin1	ENSMUSG00000004044	Others	19285
Mus_musculus	Dnaja3	ENSMUSG00000004069	Others	83945
Mus_musculus	Dnmt1	ENSMUSG00000004099	DNA_methylase	13433
Mus_musculus	Ikbkg	ENSMUSG00000004221	Others	16151
Mus_musculus	Wwox	ENSMUSG00000004637	WW	80707
Mus_musculus	Hdac9	ENSMUSG00000004698	Histone deacetylase	79221
Mus_musculus	Dgkq	ENSMUSG00000004815	Others	110524
Mus_musculus	Hdgf	ENSMUSG00000004897	Others	15191
Mus_musculus	Hmox1	ENSMUSG00000005413	Others	15368
Mus_musculus	Asf1b	ENSMUSG00000005470	Others	66929
Mus_musculus	Dnajb1	ENSMUSG00000005483	Others	81489
Mus_musculus	Insr	ENSMUSG00000005534	Others	16337
Mus_musculus	Trim28	ENSMUSG00000005566	Tripartite motif	21849
Mus_musculus	Ctr9	ENSMUSG00000005609	Others	22083
Mus_musculus	Snx6	ENSMUSG00000005656	Others	72183
Mus_musculus	Ncoa2	ENSMUSG00000005886	Nuclear receptor coactivator	17978
Mus_musculus	Tpr	ENSMUSG00000006005	Others	108989
Mus_musculus	Kmt2b	ENSMUSG00000006307	Lysine methyltransferase	75410
Mus_musculus	Cbfa2t3	ENSMUSG00000006362	Others	12398
Mus_musculus	Med8	ENSMUSG00000006392	Mediator complex	80509
Mus_musculus	Rbm14	ENSMUSG00000006456	RNA binding protein	56275
Mus_musculus	Sfmbt1	ENSMUSG00000006527	Others	54650
Mus_musculus	Runx1t1	ENSMUSG00000006586	Others	12395
Mus_musculus	Gtf2h1	ENSMUSG00000006599	GTF	14884
Mus_musculus	Gmnn	ENSMUSG00000006715	Others	57441
Mus_musculus	Ezh1	ENSMUSG00000006920	Others	14055
Mus_musculus	Ctnnb1	ENSMUSG00000006932	Casein	12387
Mus_musculus	Rhoa	ENSMUSG00000007815	Others	11848
Mus_musculus	Tle1	ENSMUSG00000008305	Transducin	21885
Mus_musculus	Hipk1	ENSMUSG00000008730	HIPK	15257
Mus_musculus	Hdac5	ENSMUSG00000008855	Histone deacetylase	15184
Mus_musculus	Ewsr1	ENSMUSG00000009079	Others	14030
Mus_musculus	Cdk9	ENSMUSG00000009555	Cyclin	107951
Mus_musculus	Mkl2	ENSMUSG00000009569	Others	239719
Mus_musculus	Cbx5	ENSMUSG00000009575	Chromobox	12419
Mus_musculus	Taf7l	ENSMUSG00000009596	TATA-box	74469
Mus_musculus	Dmap1	ENSMUSG00000009640	DNA_methylase	66233
Mus_musculus	Wnt3a	ENSMUSG00000009900	Others	22416
Mus_musculus	Hyal2	ENSMUSG00000010047	Others	15587
Mus_musculus	Nedd8	ENSMUSG00000010376	Others	18002
Mus_musculus	Eya4	ENSMUSG00000010461	EYA	14051
Mus_musculus	Brf1	ENSMUSG00000011158	GTF	72308
Mus_musculus	Snapc2	ENSMUSG00000011837	Others	102209
Mus_musculus	Ccnt1	ENSMUSG00000011960	Cyclin	12455
Mus_musculus	Brms1l	ENSMUSG00000012076	Other_CRF	52592
Mus_musculus	Med15	ENSMUSG00000012114	Mediator complex	94112
Mus_musculus	Nelfb	ENSMUSG00000013465	GTF	58202
Mus_musculus	Pten	ENSMUSG00000013663	Others	19211
Mus_musculus	Ehmt2	ENSMUSG00000013787	Histone lysine methyltransferase	110147
Mus_musculus	Med16	ENSMUSG00000013833	Mediator complex	216154
Mus_musculus	Rnf168	ENSMUSG00000014074	Ring finger protein	70238
Mus_musculus	Tsg101	ENSMUSG00000014402	Others	22088
Mus_musculus	Tbp	ENSMUSG00000014767	TATA-box	21374
Mus_musculus	Edf1	ENSMUSG00000015092	Others	59022
Mus_musculus	Actn1	ENSMUSG00000015143	Actin	109711
Mus_musculus	Sirt2	ENSMUSG00000015149	Sirtuin	64383
Mus_musculus	Notch4	ENSMUSG00000015468	Notch	18132
Mus_musculus	Hspa8	ENSMUSG00000015656	Heat shock protein	15481
Mus_musculus	Anp32e	ENSMUSG00000015749	ANP	66471
Mus_musculus	Med22	ENSMUSG00000015776	Mediator complex	20933
Mus_musculus	Med28	ENSMUSG00000015804	Mediator complex	66999
Mus_musculus	Sqstm1	ENSMUSG00000015837	Others	18412
Mus_musculus	Actr8	ENSMUSG00000015971	ACTR	56249
Mus_musculus	Tenm1	ENSMUSG00000016150	Others	23963
Mus_musculus	Nelfcd	ENSMUSG00000016253	GTF	57314
Mus_musculus	Phf21b	ENSMUSG00000016624	PHF	271305
Mus_musculus	Brca1	ENSMUSG00000017146	Others	12189
Mus_musculus	Med24	ENSMUSG00000017210	Mediator complex	23989
Mus_musculus	Nlk	ENSMUSG00000017376	Others	18099
Mus_musculus	Suz12	ENSMUSG00000017548	Others	52615
Mus_musculus	Birc5	ENSMUSG00000017716	Others	11799
Mus_musculus	Crk	ENSMUSG00000017776	Others	12928
Mus_musculus	Eya2	ENSMUSG00000017897	EYA	14049
Mus_musculus	Med13l	ENSMUSG00000018076	Mediator complex	76199
Mus_musculus	Med1	ENSMUSG00000018160	Mediator complex	19014
Mus_musculus	Ywhab	ENSMUSG00000018326	Others	54401
Mus_musculus	Smurf2	ENSMUSG00000018363	Others	66313
Mus_musculus	Nol11	ENSMUSG00000018433	Nuclear coactivator	68979
Mus_musculus	C1qbp	ENSMUSG00000018446	Others	12261
Mus_musculus	Chd3	ENSMUSG00000018474	CHD	216848
Mus_musculus	Kdm6b	ENSMUSG00000018476	Lysine demethylase	216850
Mus_musculus	Pcgf2	ENSMUSG00000018537	PCGF	22658
Mus_musculus	Trim37	ENSMUSG00000018548	Tripartite motif	68729
Mus_musculus	Cdk5rap3	ENSMUSG00000018669	Cyclin	80280
Mus_musculus	Aatf	ENSMUSG00000018697	Others	56321
Mus_musculus	Wwc1	ENSMUSG00000018849	WW	211652
Mus_musculus	Arrb1	ENSMUSG00000018909	Others	109689
Mus_musculus	Pelp1	ENSMUSG00000018921	Others	75273
Mus_musculus	Med11	ENSMUSG00000018923	Mediator complex	66172
Mus_musculus	Ddx39b	ENSMUSG00000019432	RNA helicase	53817
Mus_musculus	Hdac2	ENSMUSG00000019777	Histone deacetylase	15182
Mus_musculus	Frk	ENSMUSG00000019779	Others	14302
Mus_musculus	Asf1a	ENSMUSG00000019857	Others	100042554
Mus_musculus	Ccdc59	ENSMUSG00000019897	Coiled-coil	52713
Mus_musculus	Cdk1	ENSMUSG00000019942	Cyclin	12534
Mus_musculus	Actr6	ENSMUSG00000019948	ACTR	67019
Mus_musculus	Psen1	ENSMUSG00000019969	Others	19164
Mus_musculus	Sgk1	ENSMUSG00000019970	Others	20393
Mus_musculus	Cep290	ENSMUSG00000019971	Others	216274
Mus_musculus	Med23	ENSMUSG00000019984	Mediator complex	70208
Mus_musculus	Cry1	ENSMUSG00000020038	Others	12952
Mus_musculus	Sirt1	ENSMUSG00000020063	Sirtuin	93759
Mus_musculus	Ccar1	ENSMUSG00000020074	Others	67500
Mus_musculus	H2afy2	ENSMUSG00000020086	Others	404634
Mus_musculus	Pcbd1	ENSMUSG00000020098	Others	13180
Mus_musculus	Egfr	ENSMUSG00000020122	Others	13649
Mus_musculus	Elane	ENSMUSG00000020125	Others	50701
Mus_musculus	Peli1	ENSMUSG00000020134	Others	67245
Mus_musculus	Cnot2	ENSMUSG00000020166	CCR4-NOT	72068
Mus_musculus	Mdm2	ENSMUSG00000020184	Others	17246
Mus_musculus	Prmt2	ENSMUSG00000020230	Arginine methyltransferase	15468
Mus_musculus	Hcfc2	ENSMUSG00000020246	Others	67933
Mus_musculus	Sumo3	ENSMUSG00000020265	Others	20610
Mus_musculus	Hint1	ENSMUSG00000020267	Others	15254
Mus_musculus	Fbxw11	ENSMUSG00000020271	Others	103583
Mus_musculus	Cnot6	ENSMUSG00000020362	CCR4-NOT	104625
Mus_musculus	Med7	ENSMUSG00000020397	Mediator complex	66213
Mus_musculus	Tnip1	ENSMUSG00000020400	Others	57783
Mus_musculus	Ascc2	ENSMUSG00000020412	ASCC	75452
Mus_musculus	Pttg1	ENSMUSG00000020415	Others	30939
Mus_musculus	Trim11	ENSMUSG00000020455	Tripartite motif	94091
Mus_musculus	Aebp1	ENSMUSG00000020473	Others	11568
Mus_musculus	Supt4a	ENSMUSG00000020485	SUPT	20922
Mus_musculus	Cnot8	ENSMUSG00000020515	CCR4-NOT	69125
Mus_musculus	Sap30l	ENSMUSG00000020519	SAP	50724
Mus_musculus	Myocd	ENSMUSG00000020542	Others	214384
Mus_musculus	Lpin1	ENSMUSG00000020593	LPIN	14245
Mus_musculus	Taf15	ENSMUSG00000020680	TATA-box	70439
Mus_musculus	Ern1	ENSMUSG00000020715	Others	78943
Mus_musculus	Ddx5	ENSMUSG00000020719	RNA helicase	13207
Mus_musculus	Recql5	ENSMUSG00000020752	Others	170472
Mus_musculus	Sap30bp	ENSMUSG00000020755	SAP	57230
Mus_musculus	Med31	ENSMUSG00000020801	Mediator complex	67279
Mus_musculus	Dvl2	ENSMUSG00000020888	Others	13543
Mus_musculus	Aurkb	ENSMUSG00000020897	Others	20877
Mus_musculus	Kat2a	ENSMUSG00000020918	Lysine acetyltransferase	14534
Mus_musculus	Strn3	ENSMUSG00000020954	Others	94186
Mus_musculus	Gtf2a1	ENSMUSG00000020962	GTF	83602
Mus_musculus	Nfkbia	ENSMUSG00000021025	NFKB associated	18035
Mus_musculus	Ralgapa1	ENSMUSG00000021027	Others	56784
Mus_musculus	Snw1	ENSMUSG00000021039	Others	66354
Mus_musculus	Sav1	ENSMUSG00000021067	Others	64010
Mus_musculus	Mnat1	ENSMUSG00000021103	Others	17420
Mus_musculus	Zmynd11	ENSMUSG00000021156	Zinc finger	66505
Mus_musculus	Trip11	ENSMUSG00000021188	Thyroid hormone receptor	109181
Mus_musculus	Dpf3	ENSMUSG00000021221	DPF	70127
Mus_musculus	Ccnk	ENSMUSG00000021258	Cyclin	12454
Mus_musculus	Sfrp4	ENSMUSG00000021319	Others	20379
Mus_musculus	Trim27	ENSMUSG00000021326	Tripartite motif	19720
Mus_musculus	Mak	ENSMUSG00000021363	Others	17152
Mus_musculus	Dek	ENSMUSG00000021377	Other_CRF	110052
Mus_musculus	Syk	ENSMUSG00000021457	Others	20963
Mus_musculus	Habp4	ENSMUSG00000021476	Others	56541
Mus_musculus	Nsd1	ENSMUSG00000021488	Nuclear receptor coactivator	18193
Mus_musculus	Pcbd2	ENSMUSG00000021496	Others	72562
Mus_musculus	Hnrnpk	ENSMUSG00000021546	HNRNP	15387
Mus_musculus	Ccnh	ENSMUSG00000021548	Cyclin	66671
Mus_musculus	Trip13	ENSMUSG00000021569	Thyroid hormone receptor	69716
Mus_musculus	Med10	ENSMUSG00000021598	Mediator complex	28077
Mus_musculus	Gtf2h2	ENSMUSG00000021639	GTF	23894
Mus_musculus	Btf3	ENSMUSG00000021660	Others	218490
Mus_musculus	Ankra2	ENSMUSG00000021661	Ankyrin repeat	68558
Mus_musculus	Jmy	ENSMUSG00000021690	Others	57748
Mus_musculus	Erbin	ENSMUSG00000021709	Erbb2	59079
Mus_musculus	Kat6b	ENSMUSG00000021767	Lysine acetyltransferase	54169
Mus_musculus	Ecd	ENSMUSG00000021810	Others	70601
Mus_musculus	Eaf1	ENSMUSG00000021890	Others	74427
Mus_musculus	Pspc1	ENSMUSG00000021938	Others	66645
Mus_musculus	Zmym2	ENSMUSG00000021945	Zinc finger	76007
Mus_musculus	Sap18	ENSMUSG00000021963	SAP	20220
Mus_musculus	Rgcc	ENSMUSG00000022018	Others	66214
Mus_musculus	Tdrd3	ENSMUSG00000022019	Others	219249
Mus_musculus	Elp3	ENSMUSG00000022031	ELP	74195
Mus_musculus	Clu	ENSMUSG00000022037	Others	12759
Mus_musculus	Hr	ENSMUSG00000022096	Lysine methyltransferase	15460
Mus_musculus	Rb1	ENSMUSG00000022105	Other_Co-activator/repressors	19645
Mus_musculus	Med4	ENSMUSG00000022109	Mediator complex	67381
Mus_musculus	Nipbl	ENSMUSG00000022141	Others	71175
Mus_musculus	Dab2	ENSMUSG00000022150	Others	13132
Mus_musculus	Ajuba	ENSMUSG00000022178	Others	16475
Mus_musculus	Ripk3	ENSMUSG00000022221	Others	56532
Mus_musculus	Ctnnd2	ENSMUSG00000022240	Casein	18163
Mus_musculus	Skor1	ENSMUSG00000022245	SKI	207667
Mus_musculus	Mtdh	ENSMUSG00000022255	Others	67154
Mus_musculus	Rad21	ENSMUSG00000022314	Others	19357
Mus_musculus	Stk3	ENSMUSG00000022329	Others	56274
Mus_musculus	Eny2	ENSMUSG00000022338	Others	223527
Mus_musculus	Brd1	ENSMUSG00000022387	Bromodomain	223770
Mus_musculus	L3mbtl2	ENSMUSG00000022394	Others	214669
Mus_musculus	Rbx1	ENSMUSG00000022400	Others	56438
Mus_musculus	Tab1	ENSMUSG00000022414	Others	66513
Mus_musculus	Efcab6	ENSMUSG00000022441	Others	77627
Mus_musculus	Wbp2nl	ENSMUSG00000022455	Others	74716
Mus_musculus	Xrcc6	ENSMUSG00000022471	Others	14375
Mus_musculus	Hdac7	ENSMUSG00000022475	Histone deacetylase	56233
Mus_musculus	Ciita	ENSMUSG00000022504	Others	12265
Mus_musculus	Crebbp	ENSMUSG00000022521	CREB	12914
Mus_musculus	Yaf2	ENSMUSG00000022634	Others	67057
Mus_musculus	Rrn3	ENSMUSG00000022682	Others	106298
Mus_musculus	Hira	ENSMUSG00000022702	Others	15260
Mus_musculus	Gsk3b	ENSMUSG00000022812	Others	56637
Mus_musculus	Gtf2e1	ENSMUSG00000022828	GTF	74197
Mus_musculus	Hcls1	ENSMUSG00000022831	Others	15163
Mus_musculus	Eaf2	ENSMUSG00000022838	Others	106389
Mus_musculus	Parp9	ENSMUSG00000022906	PARP	80285
Mus_musculus	Brwd1	ENSMUSG00000022914	Bromodomain	93871
Mus_musculus	Chaf1b	ENSMUSG00000022945	Others	110749
Mus_musculus	Smarcd1	ENSMUSG00000023018	SWI/SNF	83797
Mus_musculus	Calcoco1	ENSMUSG00000023055	Others	67488
Mus_musculus	Fhl1	ENSMUSG00000023092	FHL	14199
Mus_musculus	Prmt5	ENSMUSG00000023110	Arginine methyltransferase	27374
Mus_musculus	Gps2	ENSMUSG00000023170	Others	56310
Mus_musculus	Trip6	ENSMUSG00000023348	Thyroid hormone receptor	22051
Mus_musculus	Chd1	ENSMUSG00000023852	CHD	67045
Mus_musculus	Phf10	ENSMUSG00000023883	PHF	72057
Mus_musculus	Vegfa	ENSMUSG00000023951	Other_CRF	22339
Mus_musculus	Taf8	ENSMUSG00000023980	TATA-box	63856
Mus_musculus	Brd4	ENSMUSG00000024002	Bromodomain	57261
Mus_musculus	Pim1	ENSMUSG00000024014	Others	18712
Mus_musculus	Lpin2	ENSMUSG00000024052	LPIN	64898
Mus_musculus	Lbh	ENSMUSG00000024063	Others	77889
Mus_musculus	Dpy30	ENSMUSG00000024067	Others	66310
Mus_musculus	Lrpprc	ENSMUSG00000024120	Others	72416
Mus_musculus	Gtf2a1l	ENSMUSG00000024154	GTF	71828
Mus_musculus	Axin1	ENSMUSG00000024182	Others	12005
Mus_musculus	Phf1	ENSMUSG00000024193	PHF	21652
Mus_musculus	Kdm4b	ENSMUSG00000024201	Lysine demethylase	193796
Mus_musculus	Mllt1	ENSMUSG00000024212	GTF	64144
Mus_musculus	Taf11	ENSMUSG00000024218	TATA-box	68776
Mus_musculus	Epc1	ENSMUSG00000024240	Others	13831
Mus_musculus	Sap130	ENSMUSG00000024260	SAP	269003
Mus_musculus	Elp2	ENSMUSG00000024271	ELP	58523
Mus_musculus	Wac	ENSMUSG00000024283	WW	225131
Mus_musculus	Ring1	ENSMUSG00000024325	Ring finger protein	19763
Mus_musculus	Brd2	ENSMUSG00000024335	Bromodomain	14312
Mus_musculus	Nelfe	ENSMUSG00000024369	GTF	27632
Mus_musculus	Ercc3	ENSMUSG00000024382	Others	13872
Mus_musculus	Hdac3	ENSMUSG00000024454	Histone deacetylase	15183
Mus_musculus	Tcerg1	ENSMUSG00000024498	TEF	56070
Mus_musculus	Cidea	ENSMUSG00000024526	Others	12683
Mus_musculus	Srfbp1	ENSMUSG00000024528	Others	67222
Mus_musculus	Cxxc1	ENSMUSG00000024560	Others	74322
Mus_musculus	Camk2a	ENSMUSG00000024617	CAMK	12322
Mus_musculus	Tle4	ENSMUSG00000024642	Transducin	21888
Mus_musculus	Lpxn	ENSMUSG00000024696	Others	107321
Mus_musculus	Jak2	ENSMUSG00000024789	Others	16452
Mus_musculus	Ankrd1	ENSMUSG00000024803	Ankyrin repeat	107765
Mus_musculus	Pcgf5	ENSMUSG00000024805	PCGF	76073
Mus_musculus	Dpf2	ENSMUSG00000024826	DPF	19708
Mus_musculus	Drap1	ENSMUSG00000024914	Others	66556
Mus_musculus	Smarca2	ENSMUSG00000024921	SWI/SNF	67155
Mus_musculus	Kat5	ENSMUSG00000024926	Lysine acetyltransferase	81601
Mus_musculus	Prdx5	ENSMUSG00000024953	Others	54683
Mus_musculus	Lgals12	ENSMUSG00000024972	Others	56072
Mus_musculus	Pdcd4	ENSMUSG00000024975	Others	18569
Mus_musculus	Hells	ENSMUSG00000025001	Others	15201
Mus_musculus	Trim8	ENSMUSG00000025034	Tripartite motif	93679
Mus_musculus	Taf5	ENSMUSG00000025049	TATA-box	226182
Mus_musculus	Pcgf6	ENSMUSG00000025050	PCGF	71041
Mus_musculus	Sfr1	ENSMUSG00000025066	Others	67788
Mus_musculus	Alyref	ENSMUSG00000025134	Others	21681
Mus_musculus	Sirt7	ENSMUSG00000025138	Sirtuin	209011
Mus_musculus	Maged1	ENSMUSG00000025151	MAGE	94275
Mus_musculus	Mms19	ENSMUSG00000025159	Others	72199
Mus_musculus	Ankrd2	ENSMUSG00000025172	Ankyrin repeat	56642
Mus_musculus	Chuk	ENSMUSG00000025199	Others	12675
Mus_musculus	Btrc	ENSMUSG00000025217	Others	12234
Mus_musculus	Ldb1	ENSMUSG00000025223	LIM	16825
Mus_musculus	Sufu	ENSMUSG00000025231	Others	24069
Mus_musculus	Limd1	ENSMUSG00000025239	LIM	29806
Mus_musculus	Tbl1x	ENSMUSG00000025246	Transducin	21372
Mus_musculus	Banp	ENSMUSG00000025316	Others	53325
Mus_musculus	Padi4	ENSMUSG00000025330	Others	18602
Mus_musculus	Kdm5c	ENSMUSG00000025332	Lysine demethylase	20591
Mus_musculus	Cdk2	ENSMUSG00000025358	Cyclin	12566
Mus_musculus	Pa2g4	ENSMUSG00000025364	Others	18813
Mus_musculus	Nab2	ENSMUSG00000025402	Others	17937
Mus_musculus	Sirt3	ENSMUSG00000025486	Sirtuin	64384
Mus_musculus	Pidd1	ENSMUSG00000025507	Others	57913
Mus_musculus	Cbx2	ENSMUSG00000025577	Chromobox	12416
Mus_musculus	Cbx8	ENSMUSG00000025578	Chromobox	30951
Mus_musculus	Rptor	ENSMUSG00000025583	Others	74370
Mus_musculus	Jade1	ENSMUSG00000025764	Others	269424
Mus_musculus	Taf3	ENSMUSG00000025782	TATA-box	209361
Mus_musculus	Nudt5	ENSMUSG00000025817	Other_CRF	53893
Mus_musculus	Xiap	ENSMUSG00000025860	Others	11798
Mus_musculus	Cops5	ENSMUSG00000025917	Others	26754
Mus_musculus	Eya1	ENSMUSG00000025932	EYA	14048
Mus_musculus	Trak2	ENSMUSG00000026028	Others	70827
Mus_musculus	Nif3l1	ENSMUSG00000026036	Others	65102
Mus_musculus	Orc2	ENSMUSG00000026037	Others	18393
Mus_musculus	Rnf25	ENSMUSG00000026171	Ring finger protein	57751
Mus_musculus	Cnot9	ENSMUSG00000026174	CCR4-NOT	58184
Mus_musculus	Ctdsp1	ENSMUSG00000026176	Others	227292
Mus_musculus	Tnp1	ENSMUSG00000026182	Other_CRF	21958
Mus_musculus	Ncl	ENSMUSG00000026234	Others	17975
Mus_musculus	Hdac4	ENSMUSG00000026313	Histone deacetylase	208727
Mus_musculus	Ccnt2	ENSMUSG00000026349	Cyclin	72949
Mus_musculus	Cdc73	ENSMUSG00000026361	Others	214498
Mus_musculus	Rbbp5	ENSMUSG00000026439	RBBP	213464
Mus_musculus	Rnf2	ENSMUSG00000026484	Ring finger protein	19821
Mus_musculus	Tfb2m	ENSMUSG00000026492	Others	15278
Mus_musculus	Mnda	ENSMUSG00000026536	Others	381308
Mus_musculus	Tada1	ENSMUSG00000026563	Transcriptional adaptor	27878
Mus_musculus	Dcaf6	ENSMUSG00000026571	Others	74106
Mus_musculus	Smyd2	ENSMUSG00000026603	SMYD	226830
Mus_musculus	Cenpf	ENSMUSG00000026605	CENP	108000
Mus_musculus	Suv39h2	ENSMUSG00000026646	Others	64707
Mus_musculus	Bmi1	ENSMUSG00000026739	Others	12151
Mus_musculus	Fam129b	ENSMUSG00000026796	FAM	227737
Mus_musculus	Med27	ENSMUSG00000026799	Mediator complex	68975
Mus_musculus	Eng	ENSMUSG00000026814	Others	13805
Mus_musculus	Abl1	ENSMUSG00000026842	Others	11350
Mus_musculus	Phf19	ENSMUSG00000026873	PHF	74016
Mus_musculus	Wdr5	ENSMUSG00000026917	WD	140858
Mus_musculus	Brd3	ENSMUSG00000026918	Bromodomain	67382
Mus_musculus	Notch1	ENSMUSG00000026923	Notch	18128
Mus_musculus	Nmi	ENSMUSG00000026946	Others	64685
Mus_musculus	Hat1	ENSMUSG00000027018	Others	107435
Mus_musculus	Med19	ENSMUSG00000027080	Mediator complex	381379
Mus_musculus	Traf6	ENSMUSG00000027164	Others	22034
Mus_musculus	Elp4	ENSMUSG00000027167	ELP	77766
Mus_musculus	Hipk3	ENSMUSG00000027177	HIPK	15259
Mus_musculus	Cops2	ENSMUSG00000027206	Others	12848
Mus_musculus	Ell3	ENSMUSG00000027246	GTF	269344
Mus_musculus	Rtf1	ENSMUSG00000027304	Others	76246
Mus_musculus	Lpin3	ENSMUSG00000027412	LPIN	64899
Mus_musculus	Polr3f	ENSMUSG00000027427	POLR	70408
Mus_musculus	Xrn2	ENSMUSG00000027433	Others	24128
Mus_musculus	Dnmt3b	ENSMUSG00000027478	DNA_methylase	13436
Mus_musculus	Mrgbp	ENSMUSG00000027569	Others	73247
Mus_musculus	Helz2	ENSMUSG00000027580	Others	229003
Mus_musculus	Raly	ENSMUSG00000027593	Others	19383
Mus_musculus	Itch	ENSMUSG00000027598	Others	16396
Mus_musculus	Rbm39	ENSMUSG00000027620	RNA binding protein	170791
Mus_musculus	Tbl1xr1	ENSMUSG00000027630	Transducin	81004
Mus_musculus	Rbl1	ENSMUSG00000027641	Other_Co-activator/repressors	19650
Mus_musculus	Src	ENSMUSG00000027646	Others	20779
Mus_musculus	Rprd1b	ENSMUSG00000027651	Others	70470
Mus_musculus	Skil	ENSMUSG00000027660	SKI	20482
Mus_musculus	Actl6a	ENSMUSG00000027671	Actin	56456
Mus_musculus	Ncoa3	ENSMUSG00000027678	Nuclear receptor coactivator	17979
Mus_musculus	Ccna2	ENSMUSG00000027715	Cyclin	12428
Mus_musculus	Supt20	ENSMUSG00000027751	SUPT	56790
Mus_musculus	Dhx36	ENSMUSG00000027770	RNA helicase	72162
Mus_musculus	Ccna1	ENSMUSG00000027793	Cyclin	12427
Mus_musculus	Wwtr1	ENSMUSG00000027803	WW	97064
Mus_musculus	Ppid	ENSMUSG00000027804	Others	67738
Mus_musculus	Notch2	ENSMUSG00000027878	Notch	18129
Mus_musculus	Ddx20	ENSMUSG00000027905	RNA helicase	53975
Mus_musculus	Crtc2	ENSMUSG00000027936	CREB	74343
Mus_musculus	Plrg1	ENSMUSG00000027998	Others	53317
Mus_musculus	Ash1l	ENSMUSG00000028053	Others	192195
Mus_musculus	Pmf1	ENSMUSG00000028066	Others	67037
Mus_musculus	Fbxw7	ENSMUSG00000028086	Others	50754
Mus_musculus	Chd1l	ENSMUSG00000028089	CHD	68058
Mus_musculus	Polr3c	ENSMUSG00000028099	POLR	74414
Mus_musculus	Rwdd3	ENSMUSG00000028133	Others	66568
Mus_musculus	Depdc1a	ENSMUSG00000028175	Others	76131
Mus_musculus	Cth	ENSMUSG00000028179	Others	107869
Mus_musculus	Bcl10	ENSMUSG00000028191	BCL	12042
